Player,Country,Games Played,Games Started,Minutes Played,Chances Created,Passes Completed,Pass Accuracy,Passes Final Third,Pass Accuracy Final Third,Dribbles Completed,Long Balls Played
K. Mbappe,FRA,7.0,7.0,597.0,8.0,155.0,0.881,4.0,0.8,27.0,45.0
L. Messi,ARG,7.0,7.0,690.0,17.0,287.0,0.88,11.0,0.733,21.0,50.0
A. Di Maria,ARG,5.0,5.0,290.0,9.0,116.0,0.885,3.0,1.0,16.0,15.0
Neymar,BRA,3.0,3.0,279.0,3.0,116.0,0.859,1.0,0.25,14.0,23.0
S. Boufal,MAR,7.0,7.0,481.0,4.0,85.0,0.81,9.0,0.692,13.0,25.0
I. Sarr,SEN,4.0,4.0,344.0,6.0,49.0,0.766,0.0,0.4272,11.0,20.0
D. Olmo,ESP,4.0,4.0,368.0,4.0,143.0,0.872,1.0,0.5,11.0,29.0
A. Santos,BRA,4.0,4.0,171.0,3.0,89.0,0.89,1.0,1.0,11.0,11.0
H. Ziyech,MAR,7.0,7.0,638.0,5.0,192.0,0.853,9.0,0.31,11.0,32.0
J. Musiala,GER,3.0,3.0,259.0,6.0,92.0,0.836,0.0,0.4272,10.0,31.0
T. Buchanan,CAN,3.0,3.0,261.0,3.0,59.0,0.819,0.0,0.0,10.0,24.0
V. Junior,BRA,4.0,4.0,301.0,6.0,67.0,0.882,0.0,0.4272,10.0,25.0
O. Dembele,FRA,7.0,7.0,437.0,8.0,139.0,0.88,0.0,0.0,10.0,18.0
A. Davies,CAN,3.0,3.0,270.0,4.0,72.0,0.818,0.0,0.0,10.0,19.0
M. Depay,NED,5.0,5.0,300.0,3.0,95.0,0.805,0.0,0.0,9.0,16.0
A. Ounahi,MAR,7.0,7.0,569.0,5.0,200.0,0.866,6.0,0.5,9.0,25.0
J. Cancelo,POR,4.0,4.0,309.0,0.0,196.0,0.903,1.0,0.2,9.0,11.0
M. Leckie,AUS,4.0,4.0,335.0,1.0,63.0,0.75,1.0,1.0,9.0,25.0
A. Behich,AUS,4.0,4.0,360.0,1.0,143.0,0.851,2.0,0.143,9.0,9.0
Raphinha,BRA,5.0,5.0,317.0,6.0,105.0,0.861,0.0,0.4272,8.0,9.0
S. Al Dawsari,KSA,3.0,3.0,270.0,6.0,80.0,0.851,1.0,0.333,7.0,10.0
J. Lindstrom,DEN,3.0,3.0,200.0,0.0,38.0,0.809,0.0,0.0,7.0,16.0
B. Aaronson,USA,4.0,4.0,105.0,3.0,41.0,0.911,0.0,0.4272,6.0,10.0
J. Campbell,CRC,3.0,3.0,270.0,1.0,99.0,0.876,2.0,0.333,6.0,22.0
S. Dest,USA,4.0,4.0,308.0,1.0,166.0,0.902,3.0,0.75,5.0,13.0
